pathway	size	pval	padj	NES
ADIPOGENESIS%REACTOME DATABASE ID RELEASE 81%9843745	108	0.0012	0.007	1.642
BIOCARTA_KERATINOCYTE_PATHWAY%MSIGDB_C2%BIOCARTA_KERATINOCYTE_PATHWAY	41	0.0004	0.0028	1.903
PID_REG_GR_PATHWAY%MSIGDB_C2%PID_REG_GR_PATHWAY	68	0	0.0002	2.083
EPIGENETIC REGULATION OF GENE EXPRESSION%GOBP%GO:0040029	221	0.0115	0.0391	1.3976
REGULATION OF BLOOD VESSEL ENDOTHELIAL CELL MIGRATION%GOBP%GO:0043535	84	0	0.0005	1.9241
MEMBRANE DOCKING%GOBP%GO:0022406	74	0.0107	0.0371	1.5931
REGULATION OF BMP SIGNALING PATHWAY%GOBP%GO:0030510	77	0.0009	0.0054	1.8561
BIOCARTA_P53HYPOXIA_PATHWAY%MSIGDB_C2%BIOCARTA_P53HYPOXIA_PATHWAY	16	0.0091	0.0329	1.7344
REGULATION OF LYMPHOCYTE DIFFERENTIATION%GOBP%GO:0045619	155	0.0016	0.0085	1.6069
NOTCH4 INTRACELLULAR DOMAIN REGULATES TRANSCRIPTION%REACTOME%R-HSA-9013695.2	20	0.0125	0.0417	1.6923
NEGATIVE REGULATION OF MITOTIC CELL CYCLE PHASE TRANSITION%GOBP%GO:1901991	143	0.0003	0.0025	-1.6196
CYTOKINES AND INFLAMMATORY RESPONSE%WIKIPATHWAYS_20240410%WP530%HOMO SAPIENS	25	0.0000016671	0	2.2568
DEATH RECEPTOR SIGNALING%REACTOME DATABASE ID RELEASE 81%73887	152	0.0001	0.0008	1.7416
REGULATION OF DNA-BINDING TRANSCRIPTION FACTOR ACTIVITY%GOBP%GO:0051090	331	0	0.0002	1.6667
RESPONSE TO DSRNA%GOBP%GO:0043331	39	0.0013	0.0073	1.874
REGULATION OF PLATELET ACTIVATION%GOBP%GO:0010543	49	0.0076	0.0285	1.6711
ROSUVASTATIN ACTION PATHWAY%SMPDB%SMP0000092	21	0.0026	0.0124	-1.8161
MISMATCH REPAIR%GOBP%GO:0006298	25	0.0004	0.0029	-1.917
INTRACELLULAR SIGNALLING THROUGH ADENOSINE RECEPTOR A2B AND ADENOSINE%SMPDB%SMP0000321	38	0.0006	0.0038	1.9396
NEGATIVE REGULATION OF LYMPHOCYTE DIFFERENTIATION%GOBP%GO:0045620	38	0.011	0.0377	1.6736
POSITIVE REGULATION OF ENDOTHELIAL CELL MIGRATION%GOBP%GO:0010595	100	0.0005	0.0031	1.7592
TNF ALPHA SIGNALING PATHWAY%WIKIPATHWAYS_20240410%WP231%HOMO SAPIENS	76	3.1124e-8	0.0000010809	2.2775
POSITIVE REGULATION OF T CELL DIFFERENTIATION%GOBP%GO:0045582	89	0.0046	0.0192	1.6325
REGULATION OF T CELL MEDIATED CYTOTOXICITY%GOBP%GO:0001914	45	0.006	0.0237	1.711
PROTEIN SYNTHESIS: CYSTEINE%PATHWHIZ%PW112918	80	4.6616e-12	4.9124e-10	-2.6517
REGULATION OF NON-CANONICAL NF-KAPPAB SIGNAL TRANSDUCTION%GOBP%GO:1901222	77	0.0043	0.0185	1.6698
RNA SPLICING%GOBP%GO:0008380	275	0.0015	0.008	1.4825
REGULATION OF ALTERNATIVE MRNA SPLICING, VIA SPLICEOSOME%GOBP%GO:0000381	52	0.0002	0.0018	1.9379
PID_SHP2_PATHWAY%MSIGDB_C2%PID_SHP2_PATHWAY	49	0.005	0.0207	1.7442
HEME BIOSYNTHETIC PROCESS%GOBP%GO:0006783	20	0.0085	0.0312	-1.6827
IMMUNE RESPONSE-ACTIVATING CELL SURFACE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002429	222	0.0000076167	0.0001	1.8334
PYRIMIDINE-CONTAINING COMPOUND BIOSYNTHETIC PROCESS%GOBP%GO:0072528	21	0.0009	0.0053	-1.9292
REGULATION OF P38-ALPHA AND P38-BETA%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%REGULATION OF P38-ALPHA AND P38-BETA	31	0.0012	0.007	1.8972
NEUROINFLAMMATION AND GLUTAMATERGIC SIGNALING%WIKIPATHWAYS_20240410%WP5083%HOMO SAPIENS	113	0.0001	0.0009	1.8147
CELLULAR RESPONSE TO MOLECULE OF BACTERIAL ORIGIN%GOBP%GO:0071219	137	2.423e-11	2.0287e-9	2.3861
CERIVASTATIN ACTION PATHWAY%PATHWHIZ%PW000271	21	0.0026	0.0124	-1.8161
RESPIRATORY SYNCYTIAL VIRUS INFECTION PATHWAY%REACTOME DATABASE ID RELEASE 81%9820952	118	2.1265e-8	7.6906e-7	2.194
NEGATIVE REGULATION OF ENDOPLASMIC RETICULUM STRESS-INDUCED INTRINSIC APOPTOTIC SIGNALING PATHWAY%GOBP%GO:1902236	16	0.0089	0.0323	1.7258
POSITIVE REGULATION OF INNATE IMMUNE RESPONSE%GOBP%GO:0045089	262	2.8782e-11	2.3455e-9	2.1524
EMBRYONIC APPENDAGE MORPHOGENESIS%GOBP%GO:0035113	37	0.0103	0.0361	1.6827
NUCLEOSIDE PHOSPHATE METABOLIC PROCESS%GOBP%GO:0006753	433	1.2057e-13	3.6846e-11	-2.0638
G1 S TRANSITION%REACTOME DATABASE ID RELEASE 81%69206	131	0.000001638	0	-1.9326
MUSCLE TISSUE DEVELOPMENT%GOBP%GO:0060537	181	0.0005	0.0032	1.6737
NF-KB SIGNALING PATHWAY%PATHWHIZ%PW064818	26	0.0001	0.0008	2.1018
T CELL ACTIVATION SARS COV 2%WIKIPATHWAYS_20240410%WP5098%HOMO SAPIENS	78	1.8339e-7	0.0000048523	2.2573
L-AMINO ACID CATABOLIC PROCESS%GOBP%GO:0170035	51	0.0057	0.0229	-1.6882
MAJOR PATHWAY OF RRNA PROCESSING IN THE NUCLEOLUS AND CYTOSOL%REACTOME%R-HSA-6791226.5	183	6.6709e-8	0.0000021126	-1.9258
PID_AP1_PATHWAY%MSIGDB_C2%PID_AP1_PATHWAY	62	9.3634e-8	0.0000027647	2.336
GLUCOCORTICOID RECEPTOR PATHWAY%WIKIPATHWAYS_20240410%WP2880%HOMO SAPIENS	63	3.3904e-8	0.0000011627	2.3967
NOVEL INTRACELLULAR COMPONENTS OF RIG I LIKE RECEPTOR PATHWAY%WIKIPATHWAYS_20240410%WP3865%HOMO SAPIENS	57	6.139e-9	2.6423e-7	2.4726
TUBE DEVELOPMENT%GOBP%GO:0035295	400	0.001	0.0057	1.4515
PID_ATR_PATHWAY%MSIGDB_C2%PID_ATR_PATHWAY	34	0.0043	0.0183	-1.7261
REGULATION OF LEUKOCYTE APOPTOTIC PROCESS%GOBP%GO:2000106	55	0.0001	0.0006	2.0364
AGE RAGE PATHWAY%WIKIPATHWAYS_20240410%WP2324%HOMO SAPIENS	55	0.0000020818	0	2.2166
POSITIVE REGULATION OF BONE MINERALIZATION%GOBP%GO:0030501	39	0.0144	0.0463	1.6309
REGULATION OF T CELL ACTIVATION%GOBP%GO:0050863	294	2.2477e-9	1.0817e-7	1.994
CHROMOSOME ORGANIZATION%GOBP%GO:0051276	392	1.5642e-9	7.7098e-8	-1.8369
NEGATIVE REGULATION OF INTRINSIC APOPTOTIC SIGNALING PATHWAY%GOBP%GO:2001243	81	0.0004	0.0028	1.7717
REGULATION OF RESPONSE TO CYTOKINE STIMULUS%GOBP%GO:0060759	142	0.0000049367	0.0001	1.8918
CELLULAR RESPONSE TO GROWTH HORMONE STIMULUS%GOBP%GO:0071378	20	0.0001	0.001	2.0774
MEMBRANE FISSION%GOBP%GO:0090148	43	0.0124	0.0414	1.5992
MONOSACCHARIDE CATABOLIC PROCESS%GOBP%GO:0046365	37	0.0031	0.0143	-1.7668
ORGANIC ACID CATABOLIC PROCESS%GOBP%GO:0016054	197	7.3474e-7	0	-1.9324
TOLL LIKE RECEPTOR SIGNALING RELATED TO MYD88%WIKIPATHWAYS_20240410%WP3858%HOMO SAPIENS	28	0.0000024492	0	2.2825
LEUKOCYTE DIFFERENTIATION%GOBP%GO:0002521	254	0.0009	0.0055	1.5307
POSITIVE REGULATION OF TOR SIGNALING%GOBP%GO:0032008	71	0.0002	0.0018	1.9094
RESPONSE TO INTERLEUKIN-6%GOBP%GO:0070741	27	0.005	0.0204	1.7451
PHOTODYNAMIC THERAPY INDUCED NF KB SURVIVAL SIGNALING%WIKIPATHWAYS_20240410%WP3617%HOMO SAPIENS	32	1.1101e-7	0.0000031855	2.4094
IMMUNE RESPONSE-ACTIVATING SIGNALING PATHWAY%GOBP%GO:0002757	286	1.0338e-7	0.0000030089	1.9374
REGULATION OF T-HELPER 1 TYPE IMMUNE RESPONSE%GOBP%GO:0002825	20	0.0042	0.0179	1.8034
INTERLEUKIN-1-MEDIATED SIGNALING PATHWAY%GOBP%GO:0070498	21	0.0004	0.0029	1.995
POSITIVE REGULATION OF RECEPTOR SIGNALING PATHWAY VIA STAT%GOBP%GO:1904894	46	0.0068	0.0262	1.7079
EXIT FROM HOST CELL%GOBP%GO:0035891	28	0.0001	0.0009	2.088
BASE EXCISION REPAIR%WIKIPATHWAYS_20240410%WP4752%HOMO SAPIENS	27	0.0000030458	0.0001	-2.2766
ACUTE VIRAL MYOCARDITIS%WIKIPATHWAYS_20240410%WP4298%HOMO SAPIENS	69	0.0077	0.0288	1.5866
NUCLEAR SIGNALING BY ERBB4%REACTOME DATABASE ID RELEASE 81%1251985	31	0.0061	0.0241	1.7205
CIRCADIAN REGULATION OF GENE EXPRESSION%GOBP%GO:0032922	68	0.0001	0.0006	2.0027
REGULATION OF G2/M TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:0010389	87	0.0024	0.012	-1.6091
NOD1 2 SIGNALING PATHWAY%REACTOME%R-HSA-168638.4	32	0.0071	0.0272	1.7244
PROTON MOTIVE FORCE-DRIVEN ATP SYNTHESIS%GOBP%GO:0015986	70	0	0.0004	-2.0037
ACTIVATION OF BH3-ONLY PROTEINS%REACTOME%R-HSA-114452.5	30	0.008	0.0298	1.6513
CELL CYCLE CHECKPOINTS%REACTOME DATABASE ID RELEASE 81%69620	271	1.2867e-9	6.4463e-8	-1.9846
L1CAM INTERACTIONS%REACTOME DATABASE ID RELEASE 81%373760	98	0.0105	0.0367	1.5313
REGULATION OF WOUND HEALING%GOBP%GO:0061041	111	0	0.0005	1.9173
RESISTIN AS A REGULATOR OF INFLAMMATION%WIKIPATHWAYS_20240410%WP4481%HOMO SAPIENS	26	0.0098	0.0349	1.6604
CERAMIDE SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CERAMIDE SIGNALING PATHWAY	48	0.0065	0.0252	1.6568
TRNA 5'-END PROCESSING%GOBP%GO:0099116	15	0.003	0.0137	-1.8561
CARBOHYDRATE METABOLIC PROCESS%GOBP%GO:0005975	260	0.0021	0.0106	-1.4605
SMAD2 SMAD3:SMAD4 HETEROTRIMER REGULATES TRANSCRIPTION%REACTOME%R-HSA-2173796.6	36	0.0041	0.0177	1.8046
REGULATION OF LYMPHOCYTE MIGRATION%GOBP%GO:2000401	54	0.0153	0.0487	1.5822
PDGFR BETA PATHWAY%WIKIPATHWAYS_20240410%WP3972%HOMO SAPIENS	21	0.0031	0.0143	1.8238
NUCLEOSIDE PHOSPHATE CATABOLIC PROCESS%GOBP%GO:1901292	100	0.0001	0.0009	-1.8681
NEGATIVE REGULATION OF IMMUNE RESPONSE%GOBP%GO:0050777	148	0.0000025835	0	1.9275
HALLMARK_PROTEIN_SECRETION%MSIGDBHALLMARK%HALLMARK_PROTEIN_SECRETION	83	0.0000032329	0.0001	2.0392
PROTEIN K63-LINKED DEUBIQUITINATION%GOBP%GO:0070536	23	0.0101	0.0358	1.7517
IL12 SIGNALING MEDIATED BY STAT4%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL12 SIGNALING MEDIATED BY STAT4	30	0.0001	0.001	2.1192
PID_IL12_2PATHWAY%MSIGDB_C2%PID_IL12_2PATHWAY	53	1.065e-9	5.4244e-8	2.5444
CAP-DEPENDENT TRANSLATION INITIATION%REACTOME%R-HSA-72737.4	120	5.9782e-10	3.3217e-8	-2.3218
T CELL DIFFERENTIATION INVOLVED IN IMMUNE RESPONSE%GOBP%GO:0002292	29	0.0086	0.0314	1.6672
ACTIVATION OF THE MRNA UPON BINDING OF THE CAP-BINDING COMPLEX AND EIFS, AND SUBSEQUENT BINDING TO 43S%REACTOME DATABASE ID RELEASE 81%72662	60	0.0006	0.0037	-1.8322
CARBOXYLIC ACID CATABOLIC PROCESS%GOBP%GO:0046395	197	7.3474e-7	0	-1.9324
REGULATORY NCRNA-MEDIATED POST-TRANSCRIPTIONAL GENE SILENCING%GOBP%GO:0035194	36	0.0146	0.0469	1.6154
PURINE NUCLEOTIDES <I>DE NOVO< I> BIOSYNTHESIS%BIOCYC%PWY-841	30	0	0.0001	-2.2091
REGULATION OF HIPPO SIGNALING%GOBP%GO:0035330	36	0.0046	0.0194	1.7497
SIGNALING BY NUCLEAR RECEPTORS%REACTOME DATABASE ID RELEASE 81%9006931	257	0.0004	0.0029	1.5892
REGULATION OF CELLULAR RESPONSE TO TRANSFORMING GROWTH FACTOR BETA STIMULUS%GOBP%GO:1903844	122	0	0.0002	1.9214
RIBOSOME ASSEMBLY%GOBP%GO:0042255	47	0.0016	0.0084	-1.7506
REGULATION OF BIOMINERAL TISSUE DEVELOPMENT%GOBP%GO:0070167	83	0.0048	0.0198	1.6647
HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	167	2.706e-17	1.5035e-14	-2.6676
PURINE NUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009144	150	0.0002	0.0015	-1.6807
MITOCHONDRIAL TRANSLATION TERMINATION%REACTOME%R-HSA-5419276.3	88	0.000002976	0.0001	-2.0133
REGULATION OF VASCULAR ENDOTHELIAL GROWTH FACTOR PRODUCTION%GOBP%GO:0010574	29	0.0113	0.0384	1.6664
DOWNREGULATION OF SMAD2 3:SMAD4 TRANSCRIPTIONAL ACTIVITY%REACTOME%R-HSA-2173795.6	29	0.0001	0.0007	2.0588
POSITIVE REGULATION OF IMMUNE RESPONSE%GOBP%GO:0050778	569	2.7227e-18	1.849e-15	2.192
REGULATION OF PATTERN RECOGNITION RECEPTOR SIGNALING PATHWAY%GOBP%GO:0062207	154	0.003	0.0137	1.5558
ORGANOPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0090407	460	0.002	0.0102	-1.3331
POSITIVE REGULATION OF LEUKOCYTE CHEMOTAXIS%GOBP%GO:0002690	80	0.0085	0.0312	1.5922
REGULATION OF NUCLEAR SMAD2 3 SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%REGULATION OF NUCLEAR SMAD2 3 SIGNALING	82	0	0.0005	1.9182
B CELL ACTIVATION%REACTOME%R-HSA-983705.3	173	0.0032	0.0146	1.5813
REGULATION OF ALPHA-BETA T CELL ACTIVATION%GOBP%GO:0046634	86	2.0827e-7	0.0000054634	2.1626
BIOCARTA_ATM_PATHWAY%MSIGDB_C2%BIOCARTA_ATM_PATHWAY	18	0.0102	0.0359	1.7115
VESICLE FUSION%GOBP%GO:0006906	94	0.0009	0.0056	1.6978
NEGATIVE REGULATION OF PROTEIN CATABOLIC PROCESS%GOBP%GO:0042177	97	0.0145	0.0468	1.4905
PROTEIN LOCALIZATION TO GOLGI APPARATUS%GOBP%GO:0034067	30	0.0136	0.0443	1.5788
VESICLE TARGETING%GOBP%GO:0006903	58	0.0084	0.031	1.6367
ERBB SIGNALING PATHWAY%WIKIPATHWAYS_20240410%WP673%HOMO SAPIENS	73	0.0002	0.0015	1.8706
VIRION ASSEMBLY%GOBP%GO:0019068	34	0.0091	0.0328	1.6868
NEGATIVE REGULATION OF PHOSPHATE METABOLIC PROCESS%GOBP%GO:0045936	284	0.0002	0.0018	1.5665
TYPE I INTERFERON-MEDIATED SIGNALING PATHWAY%GOBP%GO:0060337	38	0	0.0004	2.1214
T CELL RECEPTOR SIGNALING PATHWAY%WIKIPATHWAYS_20240410%WP69%HOMO SAPIENS	67	0.0006	0.0039	1.7932
ANTIGEN PRESENTATION: FOLDING, ASSEMBLY AND PEPTIDE LOADING OF CLASS I MHC%REACTOME%R-HSA-983170.5	29	0.0017	0.0091	1.8575
PID_TOLL_ENDOGENOUS_PATHWAY%MSIGDB_C2%PID_TOLL_ENDOGENOUS_PATHWAY	20	0.0075	0.0283	1.7421
PID_INTEGRIN3_PATHWAY%MSIGDB_C2%PID_INTEGRIN3_PATHWAY	36	0.0016	0.0087	1.8804
POSITIVE REGULATION OF MITOTIC CELL CYCLE PHASE TRANSITION%GOBP%GO:1901992	70	0.006	0.0237	-1.5717
NEGATIVE REGULATION OF CYSTEINE-TYPE ENDOPEPTIDASE ACTIVITY%GOBP%GO:2000117	54	0	0.0003	2.0756
REGULATION OF ORGAN GROWTH%GOBP%GO:0046620	36	0.0011	0.0062	1.91
NEOVASCULARIZATION PROCESSES%WIKIPATHWAYS_20240410%WP4331%HOMO SAPIENS	30	0.0028	0.0131	1.8264
BIOCARTA_TOLL_PATHWAY%MSIGDB_C2%BIOCARTA_TOLL_PATHWAY	24	0.0000011643	0	2.3134
EMBRYONIC LIMB MORPHOGENESIS%GOBP%GO:0030326	37	0.0103	0.0361	1.6827
IMMUNE EFFECTOR PROCESS%GOBP%GO:0002252	355	0.0005	0.0036	1.5809
POSITIVE REGULATION OF MIRNA TRANSCRIPTION%GOBP%GO:1902895	48	0.0008	0.005	1.8834
NONSENSE-MEDIATED DECAY (NMD)%REACTOME%R-HSA-927802.4	116	0.0003	0.0025	-1.6984
REGULATION OF CELL FATE COMMITMENT%GOBP%GO:0010453	31	0.0126	0.0418	1.6925
REGULATION OF HORMONE LEVELS%GOBP%GO:0010817	363	0.0046	0.0191	1.4308
EPITHELIAL CELL DEVELOPMENT%GOBP%GO:0002064	81	0.0005	0.0036	1.8477
REGULATION OF P38MAPK CASCADE%GOBP%GO:1900744	38	0.0001	0.0008	2.0571
REGULATION OF PLK1 ACTIVITY AT G2 M TRANSITION%REACTOME DATABASE ID RELEASE 81%2565942	85	0.0071	0.0272	-1.5662
REGULATION OF PROTEIN TRANSPORT%GOBP%GO:0051223	301	0.0035	0.0157	1.4563
HALLMARK_ALLOGRAFT_REJECTION%MSIGDBHALLMARK%HALLMARK_ALLOGRAFT_REJECTION	175	1.1139e-8	4.3148e-7	2.1125
PEPTIDE CHAIN ELONGATION%REACTOME%R-HSA-156902.4	90	5.7454e-13	1.2109e-10	-2.6174
ALZHEIMER 39 S DISEASE AND MIRNA EFFECTS%WIKIPATHWAYS_20240410%WP2059%HOMO SAPIENS	202	0.0006	0.0038	1.6187
INFLAMMATORY RESPONSE%GOBP%GO:0006954	304	5.2189e-11	3.9872e-9	2.1263
BRAIN DERIVED NEUROTROPHIC FACTOR BDNF SIGNALING PATHWAY%WIKIPATHWAYS_20240410%WP2380%HOMO SAPIENS	122	0.0000089337	0.0001	1.9002
PURINE NUCLEOSIDE BISPHOSPHATE METABOLIC PROCESS%GOBP%GO:0034032	109	0.0006	0.0039	-1.6691
SIGNALING BY ALK FUSIONS AND ACTIVATED POINT MUTANTS%REACTOME DATABASE ID RELEASE 81%9725370	89	0.0001	0.0008	1.8816
RESPONSE TO NUTRIENT LEVELS%GOBP%GO:0031667	251	0.0006	0.0038	1.5898
NEGATIVE REGULATION OF WOUND HEALING%GOBP%GO:0061045	58	0.0029	0.0136	1.7892
IL 26 SIGNALING PATHWAYS%WIKIPATHWAYS_20240410%WP5347%HOMO SAPIENS	41	0.0003	0.0021	2.0025
CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20240410%WP477%HOMO SAPIENS	87	1.5118e-9	7.5122e-8	-2.4023
POSITIVE REGULATION OF CELL CYCLE PROCESS%GOBP%GO:0090068	212	0.0001	0.0011	-1.6063
TNFS BIND THEIR PHYSIOLOGICAL RECEPTORS%REACTOME%R-HSA-5669034.4	29	0.0021	0.0107	1.8683
NEGATIVE REGULATION OF CELL DIFFERENTIATION%GOBP%GO:0045596	402	0.0000012316	0	1.725
REGULATION OF EXTRINSIC APOPTOTIC SIGNALING PATHWAY%GOBP%GO:2001236	110	1.5217e-8	5.7409e-7	2.1981
REGULATION OF DEPHOSPHORYLATION%GOBP%GO:0035303	90	0	0.0002	1.9637
SYNTHESIS OF ACTIVE UBIQUITIN: ROLES OF E1 AND E2 ENZYMES%REACTOME DATABASE ID RELEASE 81%8866652	30	0.0015	0.008	1.8985
DEFENSE RESPONSE TO BACTERIUM%GOBP%GO:0042742	229	0.0001	0.0011	1.7294
MEIOTIC CELL CYCLE PROCESS%GOBP%GO:1903046	144	0.0000084535	0.0001	-1.9178
REGULATION OF PHOSPHATIDYLINOSITOL 3-KINASE/PROTEIN KINASE B SIGNAL TRANSDUCTION%GOBP%GO:0051896	203	0.0037	0.0166	1.4937
GTP HYDROLYSIS AND JOINING OF THE 60S RIBOSOMAL SUBUNIT%REACTOME%R-HSA-72706.4	113	5.5144e-10	3.1499e-8	-2.3086
ENDODERM FORMATION%GOBP%GO:0001706	45	0.0062	0.0244	1.7082
SELENIUM MICRONUTRIENT NETWORK%WIKIPATHWAYS_20240410%WP15%HOMO SAPIENS	73	0.0031	0.0142	1.7562
PROTEIN MODIFICATION BY SMALL PROTEIN REMOVAL%GOBP%GO:0070646	89	0.0019	0.01	1.6465
TRANSCRIPTIONAL REGULATION OF WHITE ADIPOCYTE DIFFERENTIATION%REACTOME DATABASE ID RELEASE 81%381340	83	0.0001	0.0012	1.8316
BIOCARTA_NFKB_PATHWAY%MSIGDB_C2%BIOCARTA_NFKB_PATHWAY	21	0.0000098588	0.0001	2.1917
PURINE RIBONUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0009205	147	0.0011	0.0065	-1.6342
POSITIVE REGULATION OF CELL DEVELOPMENT%GOBP%GO:0010720	287	0.0032	0.0146	1.4663
POSITIVE REGULATION OF CALCIUM-MEDIATED SIGNALING%GOBP%GO:0050850	47	0.0034	0.0153	1.8214
BIOCARTA_IL1R_PATHWAY%MSIGDB_C2%BIOCARTA_IL1R_PATHWAY	28	1.1453e-7	0.0000032711	2.3891
REGULATION OF T-HELPER CELL DIFFERENTIATION%GOBP%GO:0045622	35	6.648e-8	0.0000021126	2.4768
KEAP1-NFE2L2 PATHWAY%REACTOME DATABASE ID RELEASE 81%9755511	124	0.0041	0.0177	1.5854
CELLULAR RESPONSE TO INTERLEUKIN-1%GOBP%GO:0071347	58	6.0524e-8	0.0000019573	2.3698
MYD88 DEPENDENT CASCADE INITIATED ON ENDOSOME%REACTOME DATABASE ID RELEASE 81%975155	100	0.0000010046	0	2.0296
ERBB1 DOWNSTREAM SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%ERBB1 DOWNSTREAM SIGNALING	103	0.0000066678	0.0001	1.9374
TOLL LIKE RECEPTOR 9 (TLR9) CASCADE%REACTOME%R-HSA-168138.5	104	4.1236e-7	0	2.0593
POSITIVE REGULATION OF FOCAL ADHESION ASSEMBLY%GOBP%GO:0051894	19	0.0099	0.0352	1.7272
HALLMARK_UV_RESPONSE_UP%MSIGDBHALLMARK%HALLMARK_UV_RESPONSE_UP	135	0.0002	0.0015	1.7506
NUCLEOSIDE MONOPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009124	23	0.0004	0.003	-1.9891
HALLMARK_MYC_TARGETS_V2%MSIGDBHALLMARK%HALLMARK_MYC_TARGETS_V2	47	6.5614e-7	0	-2.308
NOTCH SIGNALING PATHWAY%WIKIPATHWAYS_20240410%WP61%HOMO SAPIENS	43	0	0.0002	2.1556
NEGATIVE REGULATION OF RECEPTOR SIGNALING PATHWAY VIA STAT%GOBP%GO:1904893	18	0.002	0.01	1.8884
INFLAMMATORY RESPONSE PATHWAY%WIKIPATHWAYS_20240410%WP453%HOMO SAPIENS	26	0.0114	0.0388	1.7079
MITOCHONDRIAL TRNA AMINOACYLATION%REACTOME%R-HSA-379726.3	21	0.005	0.0204	-1.7458
THIOGUANINE ACTION PATHWAY%PATHWHIZ%PW000429	47	0.0073	0.0278	-1.6524
PID_PLK1_PATHWAY%MSIGDB_C2%PID_PLK1_PATHWAY	40	0.0131	0.0433	-1.6629
SMITH-LEMLI-OPITZ SYNDROME (SLOS)%PATHWHIZ%PW000095	21	0.0026	0.0124	-1.8161
CELLULAR RESPONSE TO FIBROBLAST GROWTH FACTOR STIMULUS%GOBP%GO:0044344	57	0.0103	0.0362	1.6203
NEGATIVE REGULATION OF NF-KAPPAB TRANSCRIPTION FACTOR ACTIVITY%GOBP%GO:0032088	75	0.0072	0.0277	1.5786
TNF SIGNALING%REACTOME%R-HSA-75893.10	54	0.0001	0.0006	2.0001
CLEC7A (DECTIN-1) SIGNALING%REACTOME%R-HSA-5607764.3	97	0.0058	0.0231	1.5507
PROTEIN LOCALIZATION TO PLASMA MEMBRANE%GOBP%GO:0072659	170	0.0031	0.0142	1.536
P38 MAPK SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%P38 MAPK SIGNALING PATHWAY	27	0.0049	0.0203	1.7641
NEGATIVE REGULATION OF TRANSPORT%GOBP%GO:0051051	301	0.0084	0.0309	1.4212
TRANSCRIPTIONAL REGULATION BY NPAS4%REACTOME%R-HSA-9634815.3	33	0.0133	0.0437	1.5838
HALLMARK_HYPOXIA%MSIGDBHALLMARK%HALLMARK_HYPOXIA	159	1.903e-8	7.0068e-7	2.1187
REGULATION OF DNA-TEMPLATED TRANSCRIPTION ELONGATION%GOBP%GO:0032784	93	0.0079	0.0296	1.5078
INTERFERON ALPHA BETA SIGNALING%REACTOME DATABASE ID RELEASE 81%909733	76	4.1803e-11	3.2342e-9	2.5605
ENDOTHELIUM DEVELOPMENT%GOBP%GO:0003158	69	0	0.0004	2.0164
TNFR1-INDUCED NF-KAPPA-B SIGNALING PATHWAY%REACTOME%R-HSA-5357956.5	28	0.0027	0.0128	1.828
CIRCADIAN RHYTHM GENES%WIKIPATHWAYS_20240410%WP3594%HOMO SAPIENS	171	0.0000088326	0.0001	1.9095
LUNG FIBROSIS%WIKIPATHWAYS_20240410%WP3624%HOMO SAPIENS	54	0	0.0003	2.0772
OLIGODENDROCYTE SPECIFICATION AND DIFFERENTIATION LEADING TO MYELIN COMPONENTS FOR CNS%WIKIPATHWAYS_20240410%WP4304%HOMO SAPIENS	26	0.0006	0.0041	1.9661
RESPONSE TO BACTERIUM%GOBP%GO:0009617	422	3.6448e-13	9.282e-11	2.1629
PURINERGIC SIGNALING IN LEISHMANIASIS INFECTION%REACTOME DATABASE ID RELEASE 81%9660826	25	0.0122	0.0408	1.6141
PIGMENT METABOLIC PROCESS%GOBP%GO:0042440	51	0.0051	0.0209	-1.6888
CHEMOKINE-MEDIATED SIGNALING PATHWAY%GOBP%GO:0070098	61	0.0000096568	0.0001	2.1366
REGULATION OF LEUKOCYTE MEDIATED CYTOTOXICITY%GOBP%GO:0001910	81	0.0054	0.0218	1.6155
NEGATIVE REGULATION OF VIRAL PROCESS%GOBP%GO:0048525	86	0.0001	0.0009	1.8901
NUCLEOTIDE METABOLISM%REACTOME%R-HSA-15869.7	92	0	0.0002	-1.9954
PID_AR_TF_PATHWAY%MSIGDB_C2%PID_AR_TF_PATHWAY	44	0.0003	0.002	1.9662
BREAST CANCER PATHWAY%WIKIPATHWAYS_20240410%WP4262%HOMO SAPIENS	136	0.0056	0.0224	1.5147
TRNA PROCESSING IN THE NUCLEUS%REACTOME%R-HSA-6784531.6	55	0.0005	0.0033	-1.8169
MAPK CASCADE%GOBP%GO:0000165	112	0.0096	0.0342	1.4917
